,volume,market_cap,high,low,close,open,date,log_diff,target
0,84113.426292,84113.426292,45200.0,40675.0,42810.57,44865.26,24-09-2021 17:00:00,-0.04687874118217117,0
1,48699.57655,48699.57655,44978.0,43069.09,44865.26,43546.37,23-09-2021 17:00:00,0.02983742854042326,1
2,58349.05542,58349.05542,44000.55,40565.39,43543.61,40734.09,22-09-2021 17:00:00,0.06669763063235656,1
3,84534.080485,84534.080485,43639.0,39600.0,40734.38,43016.64,21-09-2021 17:00:00,-0.05451456426128587,0
4,78003.524443,78003.524443,47347.25,42500.0,43015.62,47241.75,20-09-2021 17:00:00,-0.09371472997414365,0
5,29847.24349,29847.24349,48372.83,46829.18,47241.75,48292.75,19-09-2021 17:00:00,-0.022003410351958408,0
6,30906.47038,30906.47038,48843.2,47035.56,48292.74,47299.98,18-09-2021 17:00:00,0.020771366136939307,1
7,34461.92776,34461.92776,48150.0,46699.56,47299.98,47737.81,17-09-2021 17:00:00,-0.0092138737122891,0
8,40725.08895,40725.08895,48557.0,47021.1,47737.82,48121.4,16-09-2021 17:00:00,-0.008003028760448672,0
9,43204.71174,43204.71174,48500.0,46682.32,48121.41,47103.28,15-09-2021 17:00:00,0.021384554759324104,1
10,44855.85099,44855.85099,47250.0,44594.44,47111.52,44940.72,14-09-2021 17:00:00,0.047173269112699145,1
11,44855.85099,44855.85099,47250.0,44594.44,47111.52,44940.72,14-09-2021 17:00:00,0.047173269112699145,1
12,65429.15056,65429.15056,46880.0,43370.0,44940.73,46025.23,13-09-2021 17:00:00,-0.023845213884758465,0
13,65429.15056,65429.15056,46880.0,43370.0,44940.73,46025.23,13-09-2021 17:00:00,-0.023845213884758465,0
14,32094.28052,32094.28052,46460.0,44742.06,46025.24,45173.68,12-09-2021 17:00:00,0.018675325312624835,1
15,32094.28052,32094.28052,46460.0,44742.06,46025.24,45173.68,12-09-2021 17:00:00,0.018675325312624835,1
16,30440.4081,30440.4081,45987.93,44722.22,45173.69,44842.2,11-09-2021 17:00:00,0.007365177381341681,1
17,30440.4081,30440.4081,45987.93,44722.22,45173.69,44842.2,11-09-2021 17:00:00,0.007365177381341681,1
18,49048.26618,49048.26618,47033.0,44132.29,44850.91,46395.14,10-09-2021 17:00:00,-0.03385083421309609,0
19,49048.26618,49048.26618,47033.0,44132.29,44850.91,46395.14,10-09-2021 17:00:00,-0.03385083421309609,0
20,50651.66002,50651.66002,47399.97,45513.08,46395.14,46048.31,09-09-2021 17:00:00,0.007503649579211569,1
21,50651.66002,50651.66002,47399.97,45513.08,46395.14,46048.31,09-09-2021 17:00:00,0.007503649579211569,1
22,65069.3152,65069.3152,47340.99,44412.02,46048.31,46868.57,08-09-2021 17:00:00,-0.017656238760192622,0
23,65069.3152,65069.3152,47340.99,44412.02,46048.31,46868.57,08-09-2021 17:00:00,-0.017656238760192622,0
