,date,timestamp,close,target,VEC.COIN_SPECT.text_last1days:bitcoin,VEC.timestamp,VEC.COIN_SPECT.text_COUNT_last1days:bitcoin
0,01-01-2020 17:00:00,1577898000.0,7200.85,1,[],1577898000,0
1,02-01-2020 17:00:00,1577984400.0,6965.71,0,[],1577984400,0
2,03-01-2020 17:00:00,1578070800.0,7344.96,1,[],1578070800,0
3,04-01-2020 17:00:00,1578157200.0,7354.11,1,[],1578157200,0
4,05-01-2020 17:00:00,1578243600.0,7358.75,1,[],1578243600,0
5,06-01-2020 17:00:00,1578330000.0,7758.0,1,[],1578330000,0
6,07-01-2020 17:00:00,1578416400.0,8145.28,1,[],1578416400,0
7,08-01-2020 17:00:00,1578502800.0,8055.98,0,[],1578502800,0
8,09-01-2020 17:00:00,1578589200.0,7817.76,0,[],1578589200,0
9,10-01-2020 17:00:00,1578675600.0,8197.02,1,[],1578675600,0
10,11-01-2020 17:00:00,1578762000.0,8020.01,0,[],1578762000,0
11,12-01-2020 17:00:00,1578848400.0,8184.98,1,[],1578848400,0
12,13-01-2020 17:00:00,1578934800.0,8110.34,0,[],1578934800,0
13,14-01-2020 17:00:00,1579021200.0,8810.01,1,[],1579021200,0
14,15-01-2020 17:00:00,1579107600.0,8821.41,1,[],1579107600,0
15,16-01-2020 17:00:00,1579194000.0,8720.01,0,[],1579194000,0
16,17-01-2020 17:00:00,1579280400.0,8913.28,1,[],1579280400,0
17,18-01-2020 17:00:00,1579366800.0,8915.96,1,[],1579366800,0
18,19-01-2020 17:00:00,1579453200.0,8701.7,0,[],1579453200,0
19,20-01-2020 17:00:00,1579539600.0,8642.35,0,[],1579539600,0
20,21-01-2020 17:00:00,1579626000.0,8736.03,1,[],1579626000,0
21,22-01-2020 17:00:00,1579712400.0,8682.36,0,[],1579712400,0
22,23-01-2020 17:00:00,1579798800.0,8404.52,0,[],1579798800,0
23,24-01-2020 17:00:00,1579885200.0,8439.0,1,[],1579885200,0
24,25-01-2020 17:00:00,1579971600.0,8340.58,0,[],1579971600,0
25,26-01-2020 17:00:00,1580058000.0,8615.0,1,[],1580058000,0
26,27-01-2020 17:00:00,1580144400.0,8907.57,1,[],1580144400,0
27,28-01-2020 17:00:00,1580230800.0,9374.21,1,[],1580230800,0
28,29-01-2020 17:00:00,1580317200.0,9301.53,0,[],1580317200,0
29,30-01-2020 17:00:00,1580403600.0,9513.21,1,[],1580403600,0
30,31-01-2020 17:00:00,1580490000.0,9352.89,0,[],1580490000,0
31,01-02-2020 17:00:00,1580576400.0,9384.61,1,[],1580576400,0
32,02-02-2020 17:00:00,1580662800.0,9331.51,0,[],1580662800,0
33,03-02-2020 17:00:00,1580749200.0,9292.24,0,[],1580749200,0
34,04-02-2020 17:00:00,1580835600.0,9197.02,0,[],1580835600,0
35,05-02-2020 17:00:00,1580922000.0,9612.04,1,[],1580922000,0
36,06-02-2020 17:00:00,1581008400.0,9772.0,1,[],1581008400,0
37,07-02-2020 17:00:00,1581094800.0,9813.73,1,[],1581094800,0
38,08-02-2020 17:00:00,1581181200.0,9895.05,1,[],1581181200,0
39,09-02-2020 17:00:00,1581267600.0,10151.75,1,[],1581267600,0
40,10-02-2020 17:00:00,1581354000.0,9851.83,0,[],1581354000,0
41,11-02-2020 17:00:00,1581440400.0,10223.08,1,[],1581440400,0
42,12-02-2020 17:00:00,1581526800.0,10326.46,1,[],1581526800,0
43,13-02-2020 17:00:00,1581613200.0,10229.63,0,[],1581613200,0
44,14-02-2020 17:00:00,1581699600.0,10344.36,1,[],1581699600,0
45,15-02-2020 17:00:00,1581786000.0,9904.72,0,[],1581786000,0
46,16-02-2020 17:00:00,1581872400.0,9917.27,1,[],1581872400,0
47,17-02-2020 17:00:00,1581958800.0,9706.0,0,[],1581958800,0
48,18-02-2020 17:00:00,1582045200.0,10164.71,1,[],1582045200,0
49,19-02-2020 17:00:00,1582131600.0,9593.79,0,[],1582131600,0
50,20-02-2020 17:00:00,1582218000.0,9596.42,1,[],1582218000,0
51,21-02-2020 17:00:00,1582304400.0,9677.05,1,[],1582304400,0
52,22-02-2020 17:00:00,1582390800.0,9650.86,0,[],1582390800,0
53,23-02-2020 17:00:00,1582477200.0,9936.4,1,[],1582477200,0
54,24-02-2020 17:00:00,1582563600.0,9656.13,0,[],1582563600,0
55,25-02-2020 17:00:00,1582650000.0,9315.84,0,[],1582650000,0
56,26-02-2020 17:00:00,1582736400.0,8785.25,0,[],1582736400,0
57,27-02-2020 17:00:00,1582822800.0,8823.21,1,[],1582822800,0
58,28-02-2020 17:00:00,1582909200.0,8692.91,0,[],1582909200,0
59,29-02-2020 17:00:00,1582995600.0,8523.61,0,[],1582995600,0
