,volume,market_cap,high,low,close,open,date,log_diff,target
28,2071663.63126,2071663.63126,217.7,179.8,212.9,183.4,03-09-2021 17:00:00,0.1491530120770701,1
29,2071663.63126,2071663.63126,217.7,179.8,212.9,183.4,03-09-2021 17:00:00,0.1491530120770701,1
30,683639.85445,683639.85445,187.9,179.4,183.3,180.9,02-09-2021 17:00:00,0.013179762444409882,1
31,683639.85445,683639.85445,187.9,179.4,183.3,180.9,02-09-2021 17:00:00,0.013179762444409882,1
32,692302.294,692302.294,182.8,168.5,180.9,171.6,01-09-2021 17:00:00,0.052778205347387974,1
33,553621.007,553621.007,175.4,165.6,171.5,167.4,31-08-2021 17:00:00,0.024197108550620072,1
34,468119.396,468119.396,176.5,166.5,167.3,174.4,30-08-2021 17:00:00,-0.041562903482100566,0
35,547343.58554,547343.58554,182.6,173.1,174.3,175.7,29-08-2021 17:00:00,-0.008000042667076102,0
36,316185.26963,316185.26963,177.1,171.3,175.6,176.2,28-08-2021 17:00:00,-0.0034110323010629884,0
37,456121.02531,456121.02531,176.35,165.0,176.2,167.7,27-08-2021 17:00:00,0.04944304467291616,1
38,568905.75324,568905.75324,180.18,164.9,167.7,177.76,26-08-2021 17:00:00,-0.05825765706215691,0
39,617983.0803,617983.0803,179.0,169.06,177.75,173.39,25-08-2021 17:00:00,0.02483467612676815,1
40,780692.69421,780692.69421,188.64,172.25,173.42,186.98,24-08-2021 17:00:00,-0.07528526131415525,0
41,877311.28336,877311.28336,191.94,183.61,187.01,185.85,23-08-2021 17:00:00,0.006222194617367727,1
42,935874.98336,935874.98336,189.6,178.38,185.91,179.57,22-08-2021 17:00:00,0.03469758158831926,1
43,644225.29965,644225.29965,184.48,176.52,179.63,183.59,21-08-2021 17:00:00,-0.02180583069137043,0
44,708140.15383,708140.15383,184.11,174.11,183.59,175.57,20-08-2021 17:00:00,0.04466718669099734,1
45,682216.29479,682216.29479,175.82,162.66,175.59,166.64,19-08-2021 17:00:00,0.052315935018522275,1
46,694819.54486,694819.54486,174.54,162.92,166.65,168.6,18-08-2021 17:00:00,-0.011633240814005852,0
47,781038.75082,781038.75082,184.38,168.01,168.61,177.96,17-08-2021 17:00:00,-0.05397045014795143,0
48,898330.4154,898330.4154,189.03,176.35,177.93,184.59,16-08-2021 17:00:00,-0.03674693490176306,0
49,948648.90733,948648.90733,186.55,175.18,184.6,182.78,15-08-2021 17:00:00,0.009908078224696304,1
50,944596.30069,944596.30069,185.11,174.62,182.76,183.32,14-08-2021 17:00:00,-0.00305944294585192,0
51,944596.30069,944596.30069,185.11,174.62,182.76,183.32,14-08-2021 17:00:00,-0.00305944294585192,0
52,1122682.76822,1122682.76822,184.57,164.0,183.31,165.41,13-08-2021 17:00:00,0.1027514684771429,1
53,1122682.76822,1122682.76822,184.57,164.0,183.31,165.41,13-08-2021 17:00:00,0.1027514684771429,1
54,987267.21224,987267.21224,179.74,160.77,165.38,170.57,12-08-2021 17:00:00,-0.030899913358760855,0
55,987267.21224,987267.21224,179.74,160.77,165.38,170.57,12-08-2021 17:00:00,-0.030899913358760855,0
56,914647.0176,914647.0176,176.07,164.23,170.6,165.38,11-08-2021 17:00:00,0.03107577876355805,1
57,914647.0176,914647.0176,176.07,164.23,170.6,165.38,11-08-2021 17:00:00,0.03107577876355805,1
58,894686.73503,894686.73503,168.28,158.79,165.38,166.27,10-08-2021 17:00:00,-0.0053671167582676205,0
59,894686.73503,894686.73503,168.28,158.79,165.38,166.27,10-08-2021 17:00:00,-0.0053671167582676205,0
60,1165618.32076,1165618.32076,170.78,145.15,166.31,149.69,09-08-2021 17:00:00,0.10528702775490473,1
61,1165618.32076,1165618.32076,170.78,145.15,166.31,149.69,09-08-2021 17:00:00,0.10528702775490473,1
62,700140.23658,700140.23658,157.63,147.0,149.69,155.92,08-08-2021 17:00:00,-0.040776566272160863,0
63,700140.23658,700140.23658,157.63,147.0,149.69,155.92,08-08-2021 17:00:00,-0.040776566272160863,0
64,878574.53896,878574.53896,156.39,147.06,155.92,147.93,07-08-2021 17:00:00,0.05260386629516045,1
65,685973.67511,685973.67511,150.9,141.73,147.95,143.51,06-08-2021 17:00:00,0.030469659663378224,1
66,615027.38819,615027.38819,145.19,136.12,143.53,142.57,05-08-2021 17:00:00,0.00671096541741889,1
67,486488.33119,486488.33119,144.5,135.54,142.57,138.49,04-08-2021 17:00:00,0.02903498631124357,1
68,402821.08451,402821.08451,143.24,135.6,138.49,141.32,03-08-2021 17:00:00,-0.02022870163631829,0
69,419849.68249,419849.68249,145.93,138.76,141.35,140.31,02-08-2021 17:00:00,0.007384823733694645,1
70,584699.77102,584699.77102,149.78,138.04,140.31,144.35,01-08-2021 17:00:00,-0.028386645703038837,0
71,584699.77102,584699.77102,149.78,138.04,140.31,144.35,01-08-2021 17:00:00,-0.028386645703038837,0
72,388737.61543,388737.61543,146.6,141.83,144.37,145.51,31-07-2021 17:00:00,-0.007865364130464236,0
73,605847.24082,605847.24082,145.88,135.86,145.51,141.44,30-07-2021 17:00:00,0.028369213882854183,1
74,542641.00192,542641.00192,143.0,136.55,141.44,140.48,29-07-2021 17:00:00,0.006810469002526354,1
75,542641.00192,542641.00192,143.0,136.55,141.44,140.48,29-07-2021 17:00:00,0.006810469002526354,1
