,volume,market_cap,high,low,close,open,date
0,372409.224,372409.224,185.8,177.9,181.4,180.0,18-09-2021 17:00:00
1,372409.224,372409.224,185.8,177.9,181.4,180.0,18-09-2021 17:00:00
2,566767.069,566767.069,190.5,177.5,180.0,185.2,17-09-2021 17:00:00
3,566767.069,566767.069,190.5,177.5,180.0,185.2,17-09-2021 17:00:00
4,935286.231,935286.231,195.4,181.5,185.2,189.1,16-09-2021 17:00:00
5,745508.059,745508.059,192.1,179.6,189.0,183.0,15-09-2021 17:00:00
6,1091279.997,1091279.997,189.0,176.1,183.1,179.4,14-09-2021 17:00:00
7,1091279.997,1091279.997,189.0,176.1,183.1,179.4,14-09-2021 17:00:00
8,5437062.6741,5437062.6741,240.0,170.7,179.4,183.1,13-09-2021 17:00:00
9,5437062.6741,5437062.6741,240.0,170.7,179.4,183.1,13-09-2021 17:00:00
10,564714.696,564714.696,186.2,175.1,183.0,178.6,12-09-2021 17:00:00
11,564714.696,564714.696,186.2,175.1,183.0,178.6,12-09-2021 17:00:00
12,551963.071,551963.071,186.2,173.4,178.6,174.1,11-09-2021 17:00:00
13,551963.071,551963.071,186.2,173.4,178.6,174.1,11-09-2021 17:00:00
14,721100.842,721100.842,187.4,170.7,174.1,180.5,10-09-2021 17:00:00
15,721100.842,721100.842,187.4,170.7,174.1,180.5,10-09-2021 17:00:00
16,896655.718,896655.718,188.6,176.5,180.5,179.7,09-09-2021 17:00:00
17,896655.718,896655.718,188.6,176.5,180.5,179.7,09-09-2021 17:00:00
18,1419232.641,1419232.641,189.0,169.3,179.7,178.4,08-09-2021 17:00:00
19,1419232.641,1419232.641,189.0,169.3,179.7,178.4,08-09-2021 17:00:00
20,2026882.59263,2026882.59263,221.9,162.1,178.5,219.4,07-09-2021 17:00:00
21,2026882.59263,2026882.59263,221.9,162.1,178.5,219.4,07-09-2021 17:00:00
22,1001710.493,1001710.493,232.3,214.8,219.4,232.2,06-09-2021 17:00:00
23,1001710.493,1001710.493,232.3,214.8,219.4,232.2,06-09-2021 17:00:00
24,1007949.97992,1007949.97992,232.56,210.5,232.2,212.0,05-09-2021 17:00:00
25,1007949.97992,1007949.97992,232.56,210.5,232.2,212.0,05-09-2021 17:00:00
26,1448417.53392,1448417.53392,225.2,208.4,211.9,212.9,04-09-2021 17:00:00
27,1448417.53392,1448417.53392,225.2,208.4,211.9,212.9,04-09-2021 17:00:00
28,2071663.63126,2071663.63126,217.7,179.8,212.9,183.4,03-09-2021 17:00:00
29,2071663.63126,2071663.63126,217.7,179.8,212.9,183.4,03-09-2021 17:00:00
30,683639.85445,683639.85445,187.9,179.4,183.3,180.9,02-09-2021 17:00:00
31,683639.85445,683639.85445,187.9,179.4,183.3,180.9,02-09-2021 17:00:00
32,692302.294,692302.294,182.8,168.5,180.9,171.6,01-09-2021 17:00:00
33,553621.007,553621.007,175.4,165.6,171.5,167.4,31-08-2021 17:00:00
34,468119.396,468119.396,176.5,166.5,167.3,174.4,30-08-2021 17:00:00
35,547343.58554,547343.58554,182.6,173.1,174.3,175.7,29-08-2021 17:00:00
36,316185.26963,316185.26963,177.1,171.3,175.6,176.2,28-08-2021 17:00:00
37,456121.02531,456121.02531,176.35,165.0,176.2,167.7,27-08-2021 17:00:00
38,568905.75324,568905.75324,180.18,164.9,167.7,177.76,26-08-2021 17:00:00
39,617983.0803,617983.0803,179.0,169.06,177.75,173.39,25-08-2021 17:00:00
40,780692.69421,780692.69421,188.64,172.25,173.42,186.98,24-08-2021 17:00:00
41,877311.28336,877311.28336,191.94,183.61,187.01,185.85,23-08-2021 17:00:00
42,935874.98336,935874.98336,189.6,178.38,185.91,179.57,22-08-2021 17:00:00
43,644225.29965,644225.29965,184.48,176.52,179.63,183.59,21-08-2021 17:00:00
44,708140.15383,708140.15383,184.11,174.11,183.59,175.57,20-08-2021 17:00:00
45,682216.29479,682216.29479,175.82,162.66,175.59,166.64,19-08-2021 17:00:00
46,694819.54486,694819.54486,174.54,162.92,166.65,168.6,18-08-2021 17:00:00
47,781038.75082,781038.75082,184.38,168.01,168.61,177.96,17-08-2021 17:00:00
48,898330.4154,898330.4154,189.03,176.35,177.93,184.59,16-08-2021 17:00:00
49,948648.90733,948648.90733,186.55,175.18,184.6,182.78,15-08-2021 17:00:00
50,944596.30069,944596.30069,185.11,174.62,182.76,183.32,14-08-2021 17:00:00
51,944596.30069,944596.30069,185.11,174.62,182.76,183.32,14-08-2021 17:00:00
52,1122682.76822,1122682.76822,184.57,164.0,183.31,165.41,13-08-2021 17:00:00
53,1122682.76822,1122682.76822,184.57,164.0,183.31,165.41,13-08-2021 17:00:00
54,987267.21224,987267.21224,179.74,160.77,165.38,170.57,12-08-2021 17:00:00
55,987267.21224,987267.21224,179.74,160.77,165.38,170.57,12-08-2021 17:00:00
56,914647.0176,914647.0176,176.07,164.23,170.6,165.38,11-08-2021 17:00:00
57,914647.0176,914647.0176,176.07,164.23,170.6,165.38,11-08-2021 17:00:00
58,894686.73503,894686.73503,168.28,158.79,165.38,166.27,10-08-2021 17:00:00
59,894686.73503,894686.73503,168.28,158.79,165.38,166.27,10-08-2021 17:00:00
60,1165618.32076,1165618.32076,170.78,145.15,166.31,149.69,09-08-2021 17:00:00
61,1165618.32076,1165618.32076,170.78,145.15,166.31,149.69,09-08-2021 17:00:00
62,700140.23658,700140.23658,157.63,147.0,149.69,155.92,08-08-2021 17:00:00
63,700140.23658,700140.23658,157.63,147.0,149.69,155.92,08-08-2021 17:00:00
64,878574.53896,878574.53896,156.39,147.06,155.92,147.93,07-08-2021 17:00:00
65,685973.67511,685973.67511,150.9,141.73,147.95,143.51,06-08-2021 17:00:00
66,615027.38819,615027.38819,145.19,136.12,143.53,142.57,05-08-2021 17:00:00
67,486488.33119,486488.33119,144.5,135.54,142.57,138.49,04-08-2021 17:00:00
68,402821.08451,402821.08451,143.24,135.6,138.49,141.32,03-08-2021 17:00:00
69,419849.68249,419849.68249,145.93,138.76,141.35,140.31,02-08-2021 17:00:00
70,584699.77102,584699.77102,149.78,138.04,140.31,144.35,01-08-2021 17:00:00
71,584699.77102,584699.77102,149.78,138.04,140.31,144.35,01-08-2021 17:00:00
72,388737.61543,388737.61543,146.6,141.83,144.37,145.51,31-07-2021 17:00:00
73,605847.24082,605847.24082,145.88,135.86,145.51,141.44,30-07-2021 17:00:00
74,542641.00192,542641.00192,143.0,136.55,141.44,140.48,29-07-2021 17:00:00
75,542641.00192,542641.00192,143.0,136.55,141.44,140.48,29-07-2021 17:00:00
76,729936.12774,729936.12774,142.0,132.39,140.42,134.73,28-07-2021 17:00:00
77,607384.02252,607384.02252,135.12,127.27,134.74,131.06,27-07-2021 17:00:00
78,1052092.77379,1052092.77379,140.47,126.85,131.06,127.64,26-07-2021 17:00:00
79,392963.87036,392963.87036,127.99,123.51,127.68,126.0,25-07-2021 17:00:00
80,432891.78019,432891.78019,127.7,123.29,125.99,124.27,24-07-2021 17:00:00
81,404160.06952,404160.06952,124.78,117.02,124.24,120.69,23-07-2021 17:00:00
82,464759.47146,464759.47146,122.0,115.61,120.67,117.77,22-07-2021 17:00:00
83,682039.47283,682039.47283,119.24,105.05,117.74,107.31,21-07-2021 17:00:00
84,682039.47283,682039.47283,119.24,105.05,117.74,107.31,21-07-2021 17:00:00
85,766236.24738,766236.24738,115.09,103.83,107.29,113.14,20-07-2021 17:00:00
86,766236.24738,766236.24738,115.09,103.83,107.29,113.14,20-07-2021 17:00:00
87,493082.96266,493082.96266,120.75,111.82,113.13,119.16,19-07-2021 17:00:00
88,493082.96266,493082.96266,120.75,111.82,113.13,119.16,19-07-2021 17:00:00
89,430985.21457,430985.21457,124.05,116.23,119.17,120.0,18-07-2021 17:00:00
90,430985.21457,430985.21457,124.05,116.23,119.17,120.0,18-07-2021 17:00:00
91,425298.69428,425298.69428,122.92,117.68,119.95,120.66,17-07-2021 17:00:00
92,422183.01506,422183.01506,127.87,120.38,120.65,125.88,16-07-2021 17:00:00
93,494375.7243,494375.7243,133.13,121.93,125.86,131.06,15-07-2021 17:00:00
94,538916.43958,538916.43958,132.42,123.59,131.07,131.45,14-07-2021 17:00:00
95,454856.67168,454856.67168,134.61,129.35,131.44,133.32,13-07-2021 17:00:00
96,670917.62355,670917.62355,139.75,131.82,133.38,134.28,12-07-2021 17:00:00
97,324968.57149,324968.57149,136.48,132.08,134.28,133.99,11-07-2021 17:00:00
98,365844.86832,365844.86832,136.82,130.32,133.99,134.54,10-07-2021 17:00:00
99,527547.82163,527547.82163,135.85,126.0,134.58,132.11,09-07-2021 17:00:00
100,645442.57112,645442.57112,137.74,127.77,132.15,137.38,08-07-2021 17:00:00
101,520913.20131,520913.20131,142.93,136.87,137.41,138.86,07-07-2021 17:00:00
102,530800.52733,530800.52733,142.73,135.6,138.87,137.76,06-07-2021 17:00:00
103,561680.84949,561680.84949,145.03,133.84,137.71,144.96,05-07-2021 17:00:00
104,443949.92264,443949.92264,148.1,136.88,144.95,140.19,04-07-2021 17:00:00
105,467041.14947,467041.14947,138.97,130.6,136.85,137.01,02-07-2021 17:00:00
106,467041.14947,467041.14947,138.97,130.6,136.85,137.01,02-07-2021 17:00:00
107,539535.2997,539535.2997,144.31,133.99,137.02,144.31,01-07-2021 17:00:00
108,539535.2997,539535.2997,144.31,133.99,137.02,144.31,01-07-2021 17:00:00
109,629619.41847,629619.41847,146.94,136.01,144.26,144.23,30-06-2021 17:00:00
110,629619.41847,629619.41847,146.94,136.01,144.26,144.23,30-06-2021 17:00:00
111,898148.69711,898148.69711,149.18,137.24,144.2,137.68,29-06-2021 17:00:00
112,703645.47159,703645.47159,139.55,129.89,137.69,132.57,28-06-2021 17:00:00
113,703645.47159,703645.47159,139.55,129.89,137.69,132.57,28-06-2021 17:00:00
114,573388.24688,573388.24688,132.67,124.66,132.6,126.81,27-06-2021 17:00:00
115,871924.09227,871924.09227,129.44,118.67,126.89,125.03,26-06-2021 17:00:00
116,764515.33892,764515.33892,138.45,124.31,125.0,134.59,25-06-2021 17:00:00
117,660335.54019,660335.54019,137.36,123.71,134.58,129.13,24-06-2021 17:00:00
118,1020444.64312,1020444.64312,133.75,115.49,129.1,119.69,23-06-2021 17:00:00
119,2255757.11457,2255757.11457,133.03,104.92,119.64,124.38,22-06-2021 17:00:00
120,2255757.11457,2255757.11457,133.03,104.92,119.64,124.38,22-06-2021 17:00:00
121,1492819.3793,1492819.3793,155.5,123.91,124.46,154.87,21-06-2021 17:00:00
122,1492819.3793,1492819.3793,155.5,123.91,124.46,154.87,21-06-2021 17:00:00
123,611253.37603,611253.37603,156.18,143.75,154.88,152.51,20-06-2021 17:00:00
124,523073.02283,523073.02283,160.88,152.31,152.49,156.33,19-06-2021 17:00:00
125,800699.30384,800699.30384,167.43,151.2,156.34,167.13,18-06-2021 17:00:00
126,559434.62367,559434.62367,173.4,162.81,167.08,166.56,17-06-2021 17:00:00
127,761479.45263,761479.45263,177.31,164.23,166.57,175.16,16-06-2021 17:00:00
128,761479.45263,761479.45263,177.31,164.23,166.57,175.16,16-06-2021 17:00:00
129,654352.05304,654352.05304,181.2,172.15,175.15,179.88,15-06-2021 17:00:00
130,802051.95645,802051.95645,179.99,166.34,179.89,170.85,14-06-2021 17:00:00
131,573493.90783,573493.90783,171.59,156.42,170.85,161.81,13-06-2021 17:00:00
132,653167.31003,653167.31003,164.3,154.14,161.8,162.84,12-06-2021 17:00:00
133,653167.31003,653167.31003,164.3,154.14,161.8,162.84,12-06-2021 17:00:00
134,928611.54446,928611.54446,173.78,160.55,162.83,168.18,11-06-2021 17:00:00
135,878866.63371,878866.63371,174.61,162.12,168.16,172.54,10-06-2021 17:00:00
136,1139739.36054,1139739.36054,173.3,152.31,172.56,160.64,09-06-2021 17:00:00
137,1417289.87647,1417289.87647,164.48,144.89,160.63,161.92,08-06-2021 17:00:00
138,1035822.82509,1035822.82509,182.22,160.25,161.95,176.42,07-06-2021 17:00:00
139,677386.36378,677386.36378,179.96,172.02,176.41,172.95,06-06-2021 17:00:00
140,846082.98073,846082.98073,185.49,167.32,172.94,178.46,05-06-2021 17:00:00
141,1130262.18071,1130262.18071,193.81,168.95,178.44,193.52,04-06-2021 17:00:00
142,1079806.82442,1079806.82442,197.78,181.95,193.5,187.18,03-06-2021 17:00:00
143,976844.03214,976844.03214,191.34,178.27,187.14,183.05,02-06-2021 17:00:00
144,1081241.44408,1081241.44408,193.16,175.82,182.99,188.01,01-06-2021 17:00:00
145,1242054.05369,1242054.05369,188.5,163.5,187.97,170.48,31-05-2021 17:00:00
146,1123365.50693,1123365.50693,181.1,155.11,170.51,164.04,30-05-2021 17:00:00
147,1554075.0432,1554075.0432,188.69,157.65,164.01,177.3,29-05-2021 17:00:00
148,2118247.13851,2118247.13851,198.88,165.5,177.33,194.31,28-05-2021 17:00:00
