,Date,Close,log_diff,target
83,24-3-2020 23:58:0,0.03024272817,0.031672875112746635,1
84,25-3-2020 23:58:0,0.0294335316,-0.027121209457947604,0
85,26-3-2020 23:58:0,0.03087911526,0.04794551879343745,1
86,27-3-2020 23:58:0,0.028782117,-0.07032581705902441,0
87,28-3-2020 23:58:0,0.0297927813,0.03451186913153004,1
88,29-3-2020 23:58:0,0.02806897914,-0.0596011045642566,0
89,30-3-2020 23:58:0,0.02965176084,0.054856489853801094,1
90,31-3-2020 23:58:0,0.03044136546,0.02628087821041758,1
91,1-4-2020 23:58:0,0.03102641958,0.019036696635257755,1
92,2-4-2020 23:58:0,0.03190036411,0.02777833778512173,1
93,3-4-2020 23:58:0,0.03226840041,0.011471012053558827,1
94,4-4-2020 23:58:0,0.03249114223,0.00687906953303985,1
95,5-4-2020 23:58:0,0.0318551618,-0.019768070597867116,0
96,6-4-2020 23:58:0,0.0359757412,0.12164542093687958,1
97,7-4-2020 23:58:0,0.0351362196,-0.023612359890318846,0
98,8-4-2020 23:58:0,0.03639218466,0.03512154857942518,1
99,9-4-2020 23:58:0,0.03602934166,-0.010020391849451471,0
100,10-4-2020 23:58:0,0.03322113326,-0.0811474352073458,0
101,11-4-2020 23:58:0,0.03346889058,0.0074301505851734895,1
102,12-4-2020 23:58:0,0.03341336758,-0.0016603211160139963,0
103,13-4-2020 23:58:0,0.03318164723,-0.006959118061074854,0
104,14-4-2020 23:58:0,0.03311028534,-0.002152959336026772,0
105,15-4-2020 23:58:0,0.0317880961,-0.040752086235465335,0
106,16-4-2020 23:58:0,0.03436884182,0.07805850965668526,1
107,17-4-2020 23:58:0,0.03431734911,-0.001499361631486007,0
108,18-4-2020 23:58:0,0.03655956718,0.06329187664247415,1
109,19-4-2020 23:58:0,0.03548586216,-0.029808539749341723,0
110,20-4-2020 23:58:0,0.03391102536,-0.04539417477669083,0
111,21-4-2020 23:58:0,0.03453278976,0.018169107124453632,1
112,22-4-2020 23:58:0,0.03661026015,0.05841923259602044,1
113,23-4-2020 23:58:0,0.04086707463,0.10999618448486359,1
114,24-4-2020 23:58:0,0.04163758798,0.018678598942932112,1
115,25-4-2020 23:58:0,0.04220790474,0.013604203097572487,1
116,26-4-2020 23:58:0,0.0459726411,0.08543894124009155,1
117,27-4-2020 23:58:0,0.04656585336,0.012821051162042352,1
118,28-4-2020 23:58:0,0.04688906919,0.006917069960387767,1
119,29-4-2020 23:58:0,0.0514433871,0.0926973414302874,1
120,30-4-2020 23:58:0,0.04753424322,-0.0790315622024318,0
121,1-5-2020 23:58:0,0.05086725204,0.0677689769061729,1
122,2-5-2020 23:58:0,0.05090730687,0.0007871285809946116,1
123,3-5-2020 23:58:0,0.04895159855,-0.03917444145583904,0
124,4-5-2020 23:58:0,0.0494467509,0.010064325921851136,1
125,5-5-2020 23:58:0,0.04934602614,-0.002039112532694176,0
126,6-5-2020 23:58:0,0.04886955946,-0.009702541912008478,0
127,7-5-2020 23:58:0,0.05116073191,0.04581758618919585,1
128,8-5-2020 23:58:0,0.05193909008,0.01509940450346603,1
129,9-5-2020 23:58:0,0.05140662912,-0.010304552054479554,0
130,10-5-2020 23:58:0,0.04755012259,-0.07798276823491213,0
131,11-5-2020 23:58:0,0.047747154,0.004135095939860722,1
132,12-5-2020 23:58:0,0.05044469144,0.054958054024583536,1
133,13-5-2020 23:58:0,0.05151268119,0.02095049697663276,1
134,14-5-2020 23:58:0,0.05098173179,-0.01036064569820594,0
135,15-5-2020 23:58:0,0.05017726175,-0.01590539746308295,0
136,16-5-2020 23:58:0,0.05094980403,0.015278942445264843,1
137,17-5-2020 23:58:0,0.05119515054,0.004803898202577095,1
138,18-5-2020 23:58:0,0.05412860904,0.05571805227853144,1
139,19-5-2020 23:58:0,0.05663448244,0.045255166269813074,1
140,20-5-2020 23:58:0,0.05673859958,0.0018367176302365174,1
